Here's the extraction plan for the requested columns:

1.  **Median OS (mo) | Overall | Treatment**
    *   found_in_pdf: true
    *   extraction_plan: The value is reported as "62.1" in Table 2, page 4, under the "GETUG-AFU 15" section, row "ADT plus D, mo", column "All patients". It is also stated in the Abstract on page 1 and in the "Overall survival" section on page 2: "62.1 mo (95% CI, 49.5–73.7) in the ADT plus D arm".
    *   value: 62.1

2.  **Median OS (mo) | Overall | Control**
    *   found_in_pdf: true
    *   extraction_plan: The value is reported as "48.6" in Table 2, page 4, under the "GETUG-AFU 15" section, row "ADT, mo", column "All patients". It is also stated in the Abstract on page 1 and in the "Overall survival" section on page 2: "48.6 mo (95% CI, 40.9–60.6) for ADT arms".
    *   value: 48.6

3.  **Median OS (mo) | High volume | Treatment**
    *   found_in_pdf: true
    *   extraction_plan: The value is reported as "39.8" in Table 2, page 4, under the "GETUG-AFU 15" section, row "ADT plus D, mo", column "HVD". It is also stated in the Abstract on page 1 and in the "Overall survival" section on page 2: "39.8 mo (95% CI, 28.0–53.4) versus 35.1 mo (95% CI, 29.9–43.6) (HR: 0.78 [95% CI, 0.56–1.09]; p = 0.14), for low-volume disease (LVD) patients; median was not reached (NR; 95% CI, 69.5-NR) and 83.4 mo (95% CI, 61.8-NR) (HR: 1.02 [95% CI, 0.67-1.55]; p = 0.9)."
    *   value: 39.8

4.  **Median OS (mo) | High volume | Control**
    *   found_in_pdf: true
    *   extraction_plan: The value is reported as "35.1" in Table 2, page 4, under the "GETUG-AFU 15" section, row "ADT, mo", column "HVD". It is also stated in the Abstract on page 1 and in the "Overall survival" section on page 2: "39.8 mo (95% CI, 28.0–53.4) versus 35.1 mo (95% CI, 29.9–43.6) (HR: 0.78 [95% CI, 0.56–1.09]; p = 0.14)".
    *   value: 35.1

5.  **Median OS (mo) | Low volume | Treatment**
    *   found_in_pdf: true
    *   extraction_plan: The value is reported as "NR" (Not Reached) in Table 2, page 4, under the "GETUG-AFU 15" section, row "ADT plus D, mo", column "LVD". It is also stated in the Abstract on page 1 and in the "Overall survival" section on page 2: "median was not reached (NR; 95% CI, 69.5-NR)".
    *   value: Not reported

6.  **Median OS (mo) | Low volume | Control**
    *   found_in_pdf: true
    *   extraction_plan: The value is reported as "83.4" in Table 2, page 4, under the "GETUG-AFU 15" section, row "ADT, mo", column "LVD". It is also stated in the Abstract on page 1 and in the "Overall survival" section on page 2: "83.4 mo (95% CI, 61.8-NR)".
    *   value: 83.4
