Here's the extraction plan for the requested columns:

1.  **Median OS (mo) | Overall | Treatment**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The value is reported in the text on page 4, within Chunk 6, in the "Results" section. Extract the value "79" from the sentence: "Median survival was 46 months (IQR 25, 92) in the SOC-alone group and 79 months (IQR 33, not reached) in the SOC + AAP group".
    *   **value**: 79

2.  **Median OS (mo) | Overall | Control**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The value is reported in the text on page 4, within Chunk 6, in the "Results" section. Extract the value "46" from the sentence: "Median survival was 46 months (IQR 25, 92) in the SOC-alone group and 79 months (IQR 33, not reached) in the SOC + AAP group".
    *   **value**: 46

3.  **Median OS (mo) | High volume | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: This information is not reported in the PDF using CHAARTED criteria. The paper stratifies by "Metastatic disease risk group using LATITUDE criteria" in Table 3, and while it mentions CHAARTED criteria in the discussion, it does not provide median OS values for subgroups defined by CHAARTED criteria in this publication.

4.  **Median OS (mo) | High volume | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: This information is not reported in the PDF using CHAARTED criteria. The paper stratifies by "Metastatic disease risk group using LATITUDE criteria" in Table 3, and while it mentions CHAARTED criteria in the discussion, it does not provide median OS values for subgroups defined by CHAARTED criteria in this publication.

5.  **Median OS (mo) | Low volume | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: This information is not reported in the PDF using CHAARTED criteria. The paper stratifies by "Metastatic disease risk group using LATITUDE criteria" in Table 3, and while it mentions CHAARTED criteria in the discussion, it does not provide median OS values for subgroups defined by CHAARTED criteria in this publication.

6.  **Median OS (mo) | Low volume | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: This information is not reported in the PDF using CHAARTED criteria. The paper stratifies by "Metastatic disease risk group using LATITUDE criteria" in Table 3, and while it mentions CHAARTED criteria in the discussion, it does not provide median OS values for subgroups defined by CHAARTED criteria in this publication.
