Here's the extraction plan for the requested columns:

1.  **PS - N (%) | 0 | Treatment**
    *   **found_in_pdf:** false
    *   **extraction_plan:** The number and percentage of participants with a Performance Status (PS) score of 0 in the treatment arm is not reported. While the methods section on page 4 mentions "WHO performance status (0 vs 1 or 2)" as a stratification factor for randomization, the baseline characteristics table (Table 1 on page 5) and the text do not provide the distribution of patients within these PS categories for the treatment arm.

2.  **PS - N (%) | 0 | Control**
    *   **found_in_pdf:** false
    *   **extraction_plan:** The number and percentage of participants with a Performance Status (PS) score of 0 in the control arm is not reported. While the methods section on page 4 mentions "WHO performance status (0 vs 1 or 2)" as a stratification factor for randomization, the baseline characteristics table (Table 1 on page 5) and the text do not provide the distribution of patients within these PS categories for the control arm.

3.  **PS - N (%) | 1-2 | Treatment**
    *   **found_in_pdf:** false
    *   **extraction_plan:** The number and percentage of participants with a Performance Status (PS) score of 1-2 in the treatment arm is not reported. While the methods section on page 4 mentions "WHO performance status (0 vs 1 or 2)" as a stratification factor for randomization, the baseline characteristics table (Table 1 on page 5) and the text do not provide the distribution of patients within these PS categories for the treatment arm.

4.  **PS - N (%) | 1-2 | Control**
    *   **found_in_pdf:** false
    *   **extraction_plan:** The number and percentage of participants with a Performance Status (PS) score of 1-2 in the control arm is not reported. While the methods section on page 4 mentions "WHO performance status (0 vs 1 or 2)" as a stratification factor for randomization, the baseline characteristics table (Table 1 on page 5) and the text do not provide the distribution of patients within these PS categories for the control arm.
