The regional participant data for the treatment and control arms are extracted as follows:

1.  **Region - N (%) | North America | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The document does not provide a breakdown of participants from North America in the treatment arm.
2.  **Region - N (%) | North America | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The document does not provide a breakdown of participants from North America in the control arm.
3.  **Region - N (%) | South America | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The document does not provide a breakdown of participants from South America in the treatment arm.
4.  **Region - N (%) | South America | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The document does not provide a breakdown of participants from South America in the control arm.
5.  **Region - N (%) | Europe | Treatment**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The trial was conducted in the United Kingdom and Switzerland (page 3, "Funding information"). All author affiliations are from these European countries (pages 1-2). No other regions are mentioned for participant recruitment. Therefore, all participants are considered to be from Europe. The total number of participants in the SOC + AAP (treatment) group was 501.
        *   **Value**: 501 (100%)
        *   **Source**: Text on page 3 (Funding information) and page 4 (Section 3 RESULTS), Table 1 on page 5.
6.  **Region - N (%) | Europe | Control**
    *   **found_in_pdf**: true
    *   **extraction_plan**: The trial was conducted in the United Kingdom and Switzerland (page 3, "Funding information"). All author affiliations are from these European countries (pages 1-2). No other regions are mentioned for participant recruitment. Therefore, all participants are considered to be from Europe. The total number of participants in the SOC-alone (control) group was 502.
        *   **Value**: 502 (100%)
        *   **Source**: Text on page 3 (Funding information) and page 4 (Section 3 RESULTS), Table 1 on page 5.
7.  **Region - N (%) | Africa | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The document does not provide a breakdown of participants from Africa in the treatment arm.
8.  **Region - N (%) | Africa | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The document does not provide a breakdown of participants from Africa in the control arm.
9.  **Region - N (%) | Asia | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The document does not provide a breakdown of participants from Asia in the treatment arm.
10. **Region - N (%) | Asia | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The document does not provide a breakdown of participants from Asia in the control arm.
11. **Region - N (%) | Oceania | Treatment**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The document does not provide a breakdown of participants from Oceania in the treatment arm.
12. **Region - N (%) | Oceania | Control**
    *   **found_in_pdf**: false
    *   **extraction_plan**: Not reported. The document does not provide a breakdown of participants from Oceania in the control arm.
