1.  **NCT**
    *   **Reported**: Yes
    *   **Location**: Page 12, Text
    *   **Extraction Instructions**: Extract the value "NCT02799602" from the "CLINICAL TRIAL INFORMATION" section on page 12.

2.  **PubMed ID**
    *   **Reported**: No
    *   **Location Examined**: I examined the header and footer of page 1, the "ASSOCIATED CONTENT" section on page 1, and the "CLINICAL TRIAL INFORMATION" section on page 12. No PubMed ID was found.

3.  **Trial Name**
    *   **Reported**: Yes
    *   **Location**: Page 1, Text
    *   **Extraction Instructions**: Extract "ARASENS" from the title "Darolutamide Plus Androgen-Deprivation Therapy and Docetaxel in Metastatic Hormone-Sensitive Prostate Cancer by Disease Volume and Risk Subgroups in the Phase III ARASENS Trial" on page 1.

4.  **Author**
    *   **Reported**: Yes
    *   **Location**: Page 1, Text
    *   **Extraction Instructions**: Extract the list of authors from the top of page 1: "Maha Hussain, MD; Bertrand Tombal, MD, PhD; Fred Saad, MD; Karim Fizazi, MD, PhD; Cora N. Sternberg, MD; E. David Crawford, MD; Neal Shore, MD; Evgeny Kopyltsov, MD; Arash Rezazadeh Kalebasty, MD; Martin Bögemann, MD; Dingwei Ye, MD; Felipe Cruz, MD, PhD; Hiroyoshi Suzuki, MD, PhD; Shivani Kapur, MD; Shankar Srinivasan, PhD; Frank Verholen, MD; Iris Kuss, MD; Heikki Joensuu, MD; and Matthew R. Smith, MD, PhD".

5.  **Year**
    *   **Reported**: Yes
    *   **Location**: Page 1, Text
    *   **Extraction Instructions**: Extract "2023" from the copyright information "© 2023 by American Society of Clinical Oncology" at the bottom of page 1.

6.  **Full Pub or Abstract**
    *   **Reported**: Full Pub
    *   **Location Examined**: The document is a multi-page PDF (15 pages of content) with detailed methods, results, figures, and tables, indicating a full publication rather than just an abstract. The title also includes "original reports" on page 1.

7.  **Phase**
    *   **Reported**: Yes
    *   **Location**: Page 1, Text
    *   **Extraction Instructions**: Extract "Phase III" from the title "Darolutamide Plus Androgen-Deprivation Therapy and Docetaxel in Metastatic Hormone-Sensitive Prostate Cancer by Disease Volume and Risk Subgroups in the Phase III ARASENS Trial" on page 1.

8.  **Original/Follow Up**
    *   **Reported**: Original
    *   **Location**: Page 1, Text
    *   **Extraction Instructions**: The document is labeled "original reports" on page 1. The abstract and introduction describe the study as evaluating efficacy and safety from the ARASENS trial, and the "Knowledge Generated" section on page 2 states "These subgroup analyses of ARASENS showed...". This indicates it's an original report of subgroup analyses from the ARASENS trial.
