1.  **ORR - N (%) | Treatment | Overall**
    *   **found_in_pdf:** false
    *   **extraction_plan:** Overall Response Rate (ORR) is not reported in the provided PDF. The study focuses on overall survival and time to castration-resistant prostate cancer as primary and secondary efficacy endpoints, respectively.
2.  **ORR - N (%) | Treatment | CR**
    *   **found_in_pdf:** false
    *   **extraction_plan:** Complete Response (CR) is not reported in the provided PDF. The study focuses on overall survival and time to castration-resistant prostate cancer as primary and secondary efficacy endpoints, respectively.
3.  **ORR - N (%) | Treatment | SD**
    *   **found_in_pdf:** false
    *   **extraction_plan:** Stable Disease (SD) is not reported in the provided PDF. The study focuses on overall survival and time to castration-resistant prostate cancer as primary and secondary efficacy endpoints, respectively.
4.  **ORR - N (%) | Treatment | PD**
    *   **found_in_pdf:** false
    *   **extraction_plan:** Progressive Disease (PD) is not reported in the provided PDF. The study focuses on overall survival and time to castration-resistant prostate cancer as primary and secondary efficacy endpoints, respectively.
5.  **ORR - N (%) | Control | Overall**
    *   **found_in_pdf:** false
    *   **extraction_plan:** Overall Response Rate (ORR) is not reported in the provided PDF. The study focuses on overall survival and time to castration-resistant prostate cancer as primary and secondary efficacy endpoints, respectively.
6.  **ORR - N (%) | Control | CR**
    *   **found_in_pdf:** false
    *   **extraction_plan:** Complete Response (CR) is not reported in the provided PDF. The study focuses on overall survival and time to castration-resistant prostate cancer as primary and secondary efficacy endpoints, respectively.
7.  **ORR - N (%) | Control | SD**
    *   **found_in_pdf:** false
    *   **extraction_plan:** Stable Disease (SD) is not reported in the provided PDF. The study focuses on overall survival and time to castration-resistant prostate cancer as primary and secondary efficacy endpoints, respectively.
8.  **ORR - N (%) | Control | PD**
    *   **found_in_pdf:** false
    *   **extraction_plan:** Progressive Disease (PD) is not reported in the provided PDF. The study focuses on overall survival and time to castration-resistant prostate cancer as primary and secondary efficacy endpoints, respectively.
